epoch,loss,val_loss
0,17.557376902123043,15.211787342447456
1,16.52324972156292,14.610233656616703
2,15.795732130705229,13.557905157086152
3,11.344565271570042,9.979261714152642
4,9.872791080043807,9.481334706307997
5,9.405672881635182,8.99544171100672
6,9.038619532011412,8.620150982081794
7,8.738795433767724,8.424813041009116
8,8.483036969710131,8.112441055223899
9,8.271104459919588,7.980499036477725
10,8.077800429836,7.800475299262076
11,7.883459027156493,7.592305352113937
12,7.74269202863885,7.50826688498403
13,7.5860125004043715,7.342531223481999
14,7.4485906584123125,7.300972738250585
15,7.31213679705601,7.096606263051318
16,7.1986855798629135,7.0357717450870645
17,7.068152425419602,6.992591674570506
18,6.983255141381703,6.824228118039872
19,6.899167222255489,6.724408809896047
20,6.7711544850897365,6.650478148884072
21,6.680116366573234,6.606593979387175
22,6.57536666912983,6.5633523837815195
23,6.4990012775274035,6.492601454739424
24,6.406519080709871,6.397230675224341
25,6.313327161737717,6.323040628664328
26,6.245389264785439,6.329683866947649
27,6.186017765693765,6.211182688280146
28,6.098616555323347,6.17662143322108
29,6.041538758571625,6.093407795772029
30,5.972910467847292,6.056403784836629
31,5.9100424704868715,6.021574655141507
32,5.841291029685816,5.9934565246779234
33,5.769769766728631,5.925573734166356
34,5.699826789033627,5.892481351707594
35,5.637801359601002,5.856282901301715
36,5.585438673257738,5.807017355627698
37,5.526552377049222,5.761311480995142
38,5.475244601542711,5.7017988372889015
39,5.417406847259944,5.639549002701323
40,5.375619443155162,5.68332463820647
41,5.323446030937358,5.6515190320176725
42,5.273365577634112,5.582953936834135
43,5.23023146900597,5.556298278260115
44,5.176416444662024,5.540082259786726
45,5.121310364159742,5.525630122817969
46,5.0876624068077145,5.507452579615382
47,5.037548589649704,5.4173275311274365
48,4.981534164346203,5.427262639768289
49,4.953587248281467,5.432267467887028
50,4.912420218147752,5.330284259623587
51,4.857744295590808,5.394654159206951
52,4.829406946132579,5.300289393626816
53,4.8114779587903636,5.311910962057037
54,4.7630339485243445,5.297977348906929
55,4.715309784799549,5.2526007476646415
56,4.6936336454483065,5.280509142190073
57,4.661365014382348,5.223568321622439
58,4.611747928669892,5.244849772753739
59,4.582181772765431,5.156534173376919
60,4.542327711067854,5.333096374024867
61,4.531381598622804,5.12770246111326
62,4.5005327388821454,5.175500528492719
63,4.45568404085603,5.156350124248203
64,4.432913310327659,5.1226116459281075
65,4.413882266061691,5.08322288916839
66,4.389903158654674,5.150903838901797
67,4.347612411608397,5.0649160198710845
68,4.324116593429916,5.1755851358897464
69,4.3009288451228915,5.0367284583737275
70,4.262252990028147,5.078585737163685
71,4.252217486550626,5.035931251353324
72,4.22381137688885,4.963237418881911
73,4.204081163129357,4.935859137860176
74,4.160937161899052,4.9552417009443
75,4.156274879047386,4.9562443007560075
76,4.124569528471831,4.923821947686314
77,4.094251525764757,4.878114799690555
78,4.08228660545496,4.944593521235255
79,4.042049923646115,4.900911730210114
80,3.7919432683105656,4.727288349379631
81,3.7266852616054837,4.72764471698077
82,3.69221424219888,4.724599386840722
83,3.680427321246498,4.7317195339233695
84,3.6649115133288506,4.716343294245361
85,3.6438729836538677,4.715167678038022
86,3.6320358289242582,4.719110448063864
87,3.6284180658398246,4.713417807380294
88,3.6199822176587855,4.744740174929815
89,3.613332567502131,4.753811450305008
90,3.6144281963957585,4.730655291931694
91,3.5958182425840457,4.749160634104
92,3.5896071939932863,4.75782329238867
93,3.5750169075869533,4.747197764370476
94,3.5712057227513454,4.737932947802813
95,3.5737596759289274,4.731675126440884
96,3.5587916764730028,4.721197844707138
97,3.538287511692188,4.731771431369812
98,3.5462906538089407,4.712184308226159
99,3.5464924674943377,4.742512222253063
100,3.5254412109758366,4.71750622766276
101,3.5092999279402037,4.714283072698097
102,3.507314807223605,4.7155714458718245
103,3.5143612898514003,4.7248350368370335
104,3.5070756559782694,4.717463379337637
105,3.504152542160885,4.713733265588665
106,3.502372889595156,4.717743316644228
107,3.498860256382694,4.718967630327807
108,3.4958646946337253,4.723432522405523
109,3.49865938817304,4.7138423788720845
110,3.490276095005065,4.722924368061811
111,3.4859277032799874,4.717695210785011
112,3.4941736935330403,4.718139596054742
113,3.4995565587638153,4.718460019070036
114,3.491305500190578,4.717486984702805
115,3.4898866567611395,4.722825698205458
116,3.501216370336729,4.720464088612497
117,3.4782591188552456,4.722757839424737
118,3.486605969189672,4.725838765189027
119,3.5049540091623603,4.723638983651009
0,nan
0,nan
0,nan
0,nan
0,nan
