epoch,loss,val_loss
0,13.47725707717346,10.357571371670428
1,9.543848157153178,9.600633654101141
2,9.07457560519929,9.402814141635236
3,8.82049836104595,9.116669293107657
4,8.64164527310921,9.020239632705163
5,8.43522349329619,8.757089417556237
6,8.251377456228461,8.61843414964347
7,8.067503707390978,8.392383345242205
8,7.930981822200008,8.308445568742423
9,7.741201395022605,8.248186834927264
10,7.636583234921691,8.205934853389346
11,7.474265951972415,8.252686270352068
12,7.343217414451845,7.95001376908401
13,7.256865050888491,7.883308805268387
14,7.186737013006139,7.706998282465442
15,7.064618189980044,8.064537311422415
16,6.960150421851124,7.610124933308568
17,6.838694337973918,7.748045576029811
18,6.791614210650269,7.60470357434503
19,6.703751055938376,7.539868305469382
20,6.649915206025897,7.515304285904457
21,6.585201599691287,7.614637621517839
22,6.470654638500901,7.296978144810118
23,6.461956527707094,7.470909381734914
24,6.364502351800929,7.443318235463109
25,6.331532713074844,7.457072027798357
26,6.305923147541497,7.302872608447897
27,6.209875293423359,7.289335546822383
28,6.176558062333437,7.235952377319336
29,6.119751275055757,7.2988575080345415
30,6.087849985493852,7.439600648551152
31,6.05217742202334,7.170109995480241
32,5.971220525702213,7.301407731812576
33,5.907250661957533,7.242992943730847
34,5.9257217391123245,7.423583228012611
35,5.84897826148155,7.344026993060934
36,5.877684316656611,7.528124694166513
37,5.866870545570405,7.130558490753174
38,5.74172493911703,7.21404820475085
39,5.716240049348574,7.493360108342664
40,5.7175603718371,7.228875900137013
41,5.709683119556322,7.560841527478448
42,5.604630593913581,7.7129645018742
43,5.621228254110293,7.074959409647975
44,5.577262915083992,7.394572603291478
45,5.5079277663716875,7.416215090916075
46,5.55375434883364,7.1549791960880675
47,5.4830673867175115,7.265869469478212
48,5.477861210675871,7.628358216121279
49,5.458323542647215,7.400285885251802
50,5.459103375908664,7.032690870350804
51,5.446194056005113,7.169247199749124
52,5.405922126376087,7.200800402411099
53,5.400757939899711,7.536965731916757
54,5.332804060913063,7.125516151559764
55,5.2679219369555,7.328474258554393
56,5.3344860708986594,7.303838844957022
57,5.293270246862559,7.314884350217622
58,5.244611037009839,7.6527529420523805
59,5.253824949174794,7.65380127676602
0,13.771401538263502,10.361305070301842
1,9.558140119324122,9.12560028500027
2,8.818300098409432,8.836567803034706
3,8.441521476584319,8.464388491615416
4,8.151006994040117,8.29612494271899
5,7.880909703161226,8.145585120670379
6,7.730711982988031,8.109199607183063
7,7.57118099641525,7.887743957458981
8,7.405040653465349,8.013521557762509
9,7.291082099337825,7.922567662738619
10,7.170520663566297,7.736561760069832
11,7.042800576773918,7.7182981248885865
12,6.902217557363193,7.615123612540109
13,6.825135177866455,7.532019690861778
14,6.785917311678152,7.58161791544112
15,6.693292450706291,7.473680170755538
16,6.582910398388153,7.450579643249512
17,6.534276194025659,7.585324469066801
18,6.454786958292012,7.4480907500736295
19,6.376705320579436,7.5022585656907825
20,6.321518055618267,7.390527377052913
21,6.272636580054841,7.540099242376903
22,6.273396317611265,7.596035192883204
23,6.151519930263424,7.364990143548875
24,6.114191759272915,7.483692562769329
25,6.0914656060540775,7.306813610924615
26,6.017517561802778,7.495926728324284
27,5.958741370719797,7.446940694536481
28,5.954102344830018,7.446755182175409
29,5.925276919101615,7.458365652296278
30,5.900830424960007,7.465341007898724
31,5.834424951151347,7.27704375887674
32,5.85203981582466,7.402204021574959
33,5.825398925632181,7.2679406650482665
34,5.777317048338673,7.274015456911117
35,5.701746493100662,7.3621719602554565
36,5.714799613903855,7.36155422907027
37,5.689845923656534,7.404685073428684
38,5.662593487583463,7.375452155158634
39,5.641737147984331,7.378086907523019
40,5.653780967073367,7.303037832653712
41,5.527052803577177,7.3239563533238
42,5.533618688583374,7.41376114648486
43,5.557434950785176,7.288930484226772
44,5.467170607403416,7.3549747164287265
45,5.48162915934209,7.377498445056734
46,5.421328272965863,7.414972433968196
47,5.431716455243323,7.307336686149476
48,5.404377469321346,7.439513002123151
49,5.397320710719205,7.377687756977384
50,5.401462272305013,7.249208821190728
51,5.307973530871375,7.3189505849565775
52,5.337206029830991,7.24227520019289
53,5.295896915958754,7.354883504292322
54,5.321186313848666,7.310678156595381
55,5.25344462733785,7.219478425525484
56,5.270562420415756,7.30636903974745
57,5.209014627431006,7.475031065562415
58,5.231507900730728,7.343552665104942
59,5.229931495954867,7.334676636589898
0,13.846263985499702,10.48134273952908
1,9.649994767071115,9.189714265248131
2,8.849831896364842,8.859009591359941
3,8.443077835190532,8.612572806222099
4,8.141643693684921,8.329021915556892
